id,Accuracy,STD,alpha,loss,penalty
0,0.5978853487126154,0.0032330025735876605,0.01,hinge,none
1,0.5294034225205635,0.006901998161209088,0.01,hinge,l2
2,0.35884466294790585,0.06535433740848887,0.01,hinge,l1
3,0.43838832687277424,0.019954515501120818,0.01,hinge,elasticnet
4,0.5845072641895938,0.003430351047164459,0.01,log,none
5,0.45517002300589327,0.0021472063995411745,0.01,log,l2
6,0.41615454917903627,0.03429302488551378,0.01,log,l1
7,0.4358356181652012,0.0017205702920698074,0.01,log,elasticnet
8,0.5606819829189121,0.004074400823759093,0.01,modified_huber,none
9,0.5764079291544546,0.0023441176588595396,0.01,modified_huber,l2
10,0.4497809712899058,0.0035204183305460124,0.01,modified_huber,l1
11,0.5106047713592387,0.0029092320176469532,0.01,modified_huber,elasticnet
12,0.6178027796161483,0.0027616588341214283,0.001,hinge,none
13,0.6125397875894236,0.004897909134208962,0.001,hinge,l2
14,0.49019885915981215,0.009923031559872933,0.001,hinge,l1
15,0.5670479972266869,0.0049230280743631305,0.001,hinge,elasticnet
16,0.6242633386908701,0.0041062499339323145,0.001,log,none
17,0.5826793986952822,0.003186645774907096,0.001,log,l2
18,0.4991648545586335,0.0030858438696383726,0.001,log,l1
19,0.5459802716586304,0.004334418618558906,0.001,log,elasticnet
20,0.573918250291513,0.0032487495699878525,0.001,modified_huber,none
21,0.6385395984998897,0.0037813831108669494,0.001,modified_huber,l2
22,0.570798272982257,0.006410007007800008,0.001,modified_huber,l1
23,0.6206863950080364,0.004986895339730956,0.001,modified_huber,elasticnet
24,0.6026441019822886,0.005295146317529531,0.0001,hinge,none
25,0.6373420314518925,0.0033478531309291295,0.0001,hinge,l2
26,0.6180076266112005,0.0021427085425642623,0.0001,hinge,l1
27,0.6382402067378904,0.0019813741351461115,0.0001,hinge,elasticnet
28,0.6104282877942706,0.0037973527070908554,0.0001,log,none
29,0.6401941319214648,0.004230317445246162,0.0001,log,l2
30,0.6168415744855189,0.0044073271934156446,0.0001,log,l1
31,0.634615990671583,0.007056374969617672,0.0001,log,elasticnet
32,0.578030947653714,0.006718774681157355,0.0001,modified_huber,none
33,0.6010683558665028,0.005252093682916462,0.0001,modified_huber,l2
34,0.5717752355740443,0.004974229870992421,0.0001,modified_huber,l1
35,0.6129179666572122,0.009964881907293666,0.0001,modified_huber,elasticnet
